affixId,name,category,tier,points,minValue,maxValue,unit,duration,area,slots,weight,minItemLevel,mgef,npcExclude,prefix,suffix
armor,Armor,Physical,1,1,5,10,flat,0,0,ARMOR|SHIELD,100,1,Skyrim.esm|0x017120,0,Ironclad,of Warding
armor,Armor,Physical,2,2,11,20,flat,0,0,ARMOR|SHIELD,100,12,Skyrim.esm|0x017120,0,Ironclad,of Warding
armor,Armor,Physical,3,3,21,35,flat,0,0,ARMOR|SHIELD,100,25,Skyrim.esm|0x017120,0,Ironclad,of Warding
health,Health,Attribute,1,1,10,20,flat,0,0,ARMOR|SHIELD,100,1,Skyrim.esm|0x0493AA,0,Hale,of Health
health,Health,Attribute,2,2,21,40,flat,0,0,ARMOR|SHIELD,100,12,Skyrim.esm|0x0493AA,0,Hale,of Health
health,Health,Attribute,3,3,41,60,flat,0,0,ARMOR|SHIELD,100,25,Skyrim.esm|0x0493AA,0,Hale,of Health
magicka,Magicka,Attribute,1,1,10,20,flat,0,0,ARMOR|RING|AMULET,100,1,Skyrim.esm|0x049504,0,Arcane,of Magicka
magicka,Magicka,Attribute,2,2,21,40,flat,0,0,ARMOR|RING|AMULET,100,12,Skyrim.esm|0x049504,0,Arcane,of Magicka
magicka,Magicka,Attribute,3,3,41,60,flat,0,0,ARMOR|RING|AMULET,100,25,Skyrim.esm|0x049504,0,Arcane,of Magicka
stamina,Stamina,Attribute,1,1,10,20,flat,0,0,ARMOR|RING|AMULET,100,1,Skyrim.esm|0x049507,0,Vigorous,of Stamina
stamina,Stamina,Attribute,2,2,21,40,flat,0,0,ARMOR|RING|AMULET,100,12,Skyrim.esm|0x049507,0,Vigorous,of Stamina
stamina,Stamina,Attribute,3,3,41,60,flat,0,0,ARMOR|RING|AMULET,100,25,Skyrim.esm|0x049507,0,Vigorous,of Stamina
health_regen,Health Regen,Regeneration,1,1,10,20,pct,0,0,ARMOR|RING|AMULET,100,1,Skyrim.esm|0x07A0F8,0,Mending,of Regeneration
health_regen,Health Regen,Regeneration,2,2,21,35,pct,0,0,ARMOR|RING|AMULET,100,12,Skyrim.esm|0x07A0F8,0,Mending,of Regeneration
health_regen,Health Regen,Regeneration,3,3,36,50,pct,0,0,ARMOR|RING|AMULET,100,25,Skyrim.esm|0x07A0F8,0,Mending,of Regeneration
magicka_regen,Magicka Regen,Regeneration,1,1,20,40,pct,0,0,ARMOR|RING|AMULET,100,1,Skyrim.esm|0x109630,0,Kindling,of Recharging
magicka_regen,Magicka Regen,Regeneration,2,2,41,70,pct,0,0,ARMOR|RING|AMULET,100,12,Skyrim.esm|0x109630,0,Kindling,of Recharging
magicka_regen,Magicka Regen,Regeneration,3,3,71,100,pct,0,0,ARMOR|RING|AMULET,100,25,Skyrim.esm|0x109630,0,Kindling,of Recharging
stamina_regen,Stamina Regen,Regeneration,1,1,10,20,pct,0,0,ARMOR|RING|AMULET,100,1,Skyrim.esm|0x07A105,0,Tireless,of Endurance
stamina_regen,Stamina Regen,Regeneration,2,2,21,35,pct,0,0,ARMOR|RING|AMULET,100,12,Skyrim.esm|0x07A105,0,Tireless,of Endurance
stamina_regen,Stamina Regen,Regeneration,3,3,36,50,pct,0,0,ARMOR|RING|AMULET,100,25,Skyrim.esm|0x07A105,0,Tireless,of Endurance
one_handed,One-Handed,Combat Skill,1,1,5,10,pct,0,0,ONEHANDED|STAFF|ARMOR|RING|AMULET,100,1,Skyrim.esm|0x07A0FF,0,Honed,of Wielding
one_handed,One-Handed,Combat Skill,2,2,11,20,pct,0,0,ONEHANDED|STAFF|ARMOR|RING|AMULET,100,12,Skyrim.esm|0x07A0FF,0,Honed,of Wielding
one_handed,One-Handed,Combat Skill,3,3,21,30,pct,0,0,ONEHANDED|STAFF|ARMOR|RING|AMULET,100,25,Skyrim.esm|0x07A0FF,0,Honed,of Wielding
two_handed,Two-Handed,Combat Skill,1,1,5,10,pct,0,0,TWOHANDED|ARMOR|RING|AMULET,100,1,Skyrim.esm|0x07A106,0,Cleaving,of Smiting
two_handed,Two-Handed,Combat Skill,2,2,11,20,pct,0,0,TWOHANDED|ARMOR|RING|AMULET,100,12,Skyrim.esm|0x07A106,0,Cleaving,of Smiting
two_handed,Two-Handed,Combat Skill,3,3,21,30,pct,0,0,TWOHANDED|ARMOR|RING|AMULET,100,25,Skyrim.esm|0x07A106,0,Cleaving,of Smiting
