# generated by MgefSurvey against this load order
# duration/area are the MODE across every enchantment that uses the
# effect -- what vanilla actually ships, not what seemed reasonable
# affixId,mgef,duration,area,effectName,usage
absorb_health,Skyrim.esm|0x0AA155,1,0,Absorb Health,used by WEAPON enchantments
absorb_magicka,Skyrim.esm|0x0AA156,1,0,Absorb Magicka,used by WEAPON enchantments
absorb_stamina,Skyrim.esm|0x0AA157,1,0,Absorb Stamina,used by WEAPON enchantments
alchemy,Skyrim.esm|0x08B65C,0,0,Fortify Alchemy,used by APPAREL enchantments
alteration_cost,Skyrim.esm|0x07A0F2,0,0,Fortify Alteration,used by APPAREL enchantments
archery,Skyrim.esm|0x07A0FE,0,0,Fortify Archery,used by APPAREL enchantments
armor,Skyrim.esm|0x017120,0,0,Fortify Armor Rating,used by APPAREL enchantments
banish,Skyrim.esm|0x0ACBB5,0,0,Banish,used by WEAPON enchantments
barter,Skyrim.esm|0x07A104,0,0,Fortify Speech,used by APPAREL enchantments
block,Skyrim.esm|0x07A0F3,0,0,Fortify Block,used by APPAREL enchantments
carry_weight,Skyrim.esm|0x07A0F4,0,0,Fortify Carry Weight,used by APPAREL enchantments
conjuration_cost,Skyrim.esm|0x07A0F5,0,0,Fortify Conjuration,used by APPAREL enchantments
damage_magicka,Skyrim.esm|0x05B44F,0,0,Magicka Damage,used by WEAPON enchantments
damage_stamina,Skyrim.esm|0x05B450,0,0,Stamina Damage,used by WEAPON enchantments
destruction_cost,Skyrim.esm|0x07A0F6,0,0,Fortify Destruction,used by APPAREL enchantments
disease_immunity,Skyrim.esm|0x100E60,0,0,Resist Disease,used by APPAREL enchantments
disease_resist,Skyrim.esm|0x100E60,0,0,Resist Disease,used by APPAREL enchantments
fear,Skyrim.esm|0x05B451,30,0,Fear,used by WEAPON enchantments
fire_damage,Skyrim.esm|0x04605A,0,0,Fire Damage,used by WEAPON enchantments
fire_resist,Skyrim.esm|0x048C8B,0,0,Resist Fire,used by APPAREL enchantments
frost_damage,Skyrim.esm|0x04605B,0,0,Frost Damage,used by WEAPON enchantments
frost_resist,Skyrim.esm|0x048F45,0,0,Resist Frost,used by APPAREL enchantments
health,Skyrim.esm|0x0493AA,0,0,Fortify Health,used by APPAREL enchantments
health_regen,Skyrim.esm|0x07A0F8,0,0,Regenerate Health,used by APPAREL enchantments
heavy_armor,Skyrim.esm|0x07A0F9,0,0,Fortify Heavy Armor,used by APPAREL enchantments
illusion_cost,Skyrim.esm|0x07A0FA,0,0,Fortify Illusion,used by APPAREL enchantments
light_armor,Skyrim.esm|0x07A0FB,0,0,Fortify Light Armor,used by APPAREL enchantments
lockpicking,Skyrim.esm|0x07A0FC,0,0,Fortify Lockpicking,used by APPAREL enchantments
magic_resist,Skyrim.esm|0x0B7A35,0,0,Resist Magic,used by APPAREL enchantments
magicka,Skyrim.esm|0x049504,0,0,Fortify Magicka,used by APPAREL enchantments
magicka_regen,Skyrim.esm|0x109630,0,0,Regenerate Magicka,used by APPAREL enchantments
muffle,Skyrim.esm|0x092A57,0,0,Muffle,used by APPAREL enchantments
one_handed,Skyrim.esm|0x07A0FF,0,0,Fortify One-Handed,used by APPAREL enchantments
paralysis,Skyrim.esm|0x01EA6E,10,0,Paralyze,used by WEAPON enchantments
pickpocket,Skyrim.esm|0x07A100,0,0,Fortify Pickpocket,used by APPAREL enchantments
poison_immunity,Skyrim.esm|0x0FF15E,0,0,Resist Poison,used by APPAREL enchantments
poison_resist,Skyrim.esm|0x0FF15E,0,0,Resist Poison,used by APPAREL enchantments
restoration_cost,Skyrim.esm|0x07A101,0,0,Fortify Restoration,used by APPAREL enchantments
shock_damage,Skyrim.esm|0x04605C,1,0,Shock Damage,used by WEAPON enchantments
shock_resist,Skyrim.esm|0x049295,0,0,Resist Shock,used by APPAREL enchantments
smithing,Skyrim.esm|0x07A102,0,0,Fortify Smithing,used by APPAREL enchantments
sneak,Skyrim.esm|0x07A103,0,0,Fortify Sneak,used by APPAREL enchantments
soul_trap,Skyrim.esm|0x0FB407,3,0,Hag's End Soul Trap,used by WEAPON enchantments
stamina,Skyrim.esm|0x049507,0,0,Fortify Stamina,used by APPAREL enchantments
stamina_regen,Skyrim.esm|0x07A105,0,0,Regenerate Stamina,used by APPAREL enchantments
turn_undead,Skyrim.esm|0x05B46B,30,0,Turn Undead,used by WEAPON enchantments
two_handed,Skyrim.esm|0x07A106,0,0,Fortify Two-Handed,used by APPAREL enchantments
unarmed_damage,Skyrim.esm|0x0424E2,0,0,Fortify Unarmed Damage,used by APPAREL enchantments
waterbreathing,Skyrim.esm|0x092A48,0,0,Waterbreathing,used by APPAREL enchantments
